dataset,lc,yr,severity,disease_category,T15,DPP,TRH90,INT1,INT2,Temp_TRH90
3,11,1992,0,0,0.5,0.359,0.0368,0.1795,0.0132,0.092
4,11,1988,0,0,0.5774,0.0769,0.0221,0.0444,0.0017,0.0635
5,11,1982,0,0,0.5893,0.4359,0.3309,0.2569,0.1442,0.975
6,11,1994,0,0,0.5893,0.2564,0.0147,0.1511,0.0038,0.0435
7,11,1984,0,0,0.631,0.1538,0.0956,0.0971,0.0147,0.3015
8,11,2000,0,0,0.5417,0.4359,0.25,0.2361,0.109,0.677
9,11,1986,0,0,0.3869,0.3077,0.0147,0.119,0.0045,0.0285
10,11,1987,0,0,0.8512,0.1538,0.0368,0.131,0.0057,0.1565
11,11,1989,0,0,0.8214,0.1282,0.3676,0.1053,0.0471,1.51
12,11,1993,0,0,0.5952,0.4359,0.1912,0.2595,0.0833,0.569
13,11,1999,0,0,0.7381,0.0769,0.1029,0.0568,0.0079,0.38
14,11,1990,0,0,0.5357,0.2308,0.1471,0.1236,0.0339,0.394
15,11,1998,1,0,0.6845,0,0.125,0,0,0.428
16,12,1991,0,0,0.5833,0.0769,0.8162,0.0449,0.0628,2.3805
17,21,1996,1.7,0,0.6964,0.1282,0.1691,0.0893,0.0217,0.589
18,31,1992,0,0,0.7857,0.1026,0.0735,0.0806,0.0075,0.289
19,41,1997,0,0,0.6607,0.359,0.6176,0.2372,0.2217,2.0405
20,41,1999,0,0,0.7083,0.4103,0.2794,0.2906,0.1146,0.9895
21,41,1998,0,0,0.9286,0.0769,0.0221,0.0714,0.0017,0.1025
22,42,1995,0,0,0.5417,0.7692,0.3235,0.4167,0.2489,0.876
23,42,1996,0,0,0.6905,0.6667,0.6471,0.4603,0.4314,2.234
24,42,1999,0,0,0.6845,0.3333,0.2279,0.2282,0.076,0.78
25,42,1997,0,0,0.4524,0.5897,0.3456,0.2668,0.2038,0.7815
26,43,1994,0,0,0.9167,0.0256,0.1176,0.0235,0.003,0.539
27,43,1997,0,0,0.6488,0.3077,0.0441,0.1996,0.0136,0.143
28,43,1998,0,0,0.8333,0.4103,0.3088,0.3419,0.1267,1.287
29,21,1999,6.3,0,0.8155,0.4103,0.2721,0.3346,0.1116,1.1095
30,21,1997,9.1,0,0.5952,0.4103,0.2426,0.2442,0.0995,0.722
34,23,1999,5.5,0,0.7024,0.5128,0.375,0.3602,0.1923,1.317
33,22,1999,8,0,0.8571,0.2564,0.4044,0.2198,0.1037,1.733
32,21,1998,12.1,1,0.994,0.1795,0.4412,0.1784,0.0792,2.193
31,21,1995,12,1,0.9167,0.3077,0.3897,0.2821,0.1199,1.786
35,23,1997,10.4,1,0.3512,1,0.5368,0.3512,0.5368,0.9425
36,23,1998,12.3,1,0.869,0.359,0.4485,0.312,0.161,1.949
37,24,1995,10,1,0.7917,0.6667,0.7426,0.5278,0.4951,2.9395
38,11,1995,43,1,0.7083,0.4359,0.8529,0.3088,0.3718,3.021
39,12,1995,40,1,0.6786,0.2051,0.8382,0.1392,0.1719,2.844
40,13,1995,50,1,0.7083,0.3333,1,0.2361,0.3333,3.5415
41,21,1994,27,1,0.8452,0.2564,0.6471,0.2167,0.1659,2.7345
42,21,1993,45,1,0.5417,0.4103,0.3971,0.2222,0.1629,1.0755
43,22,1997,14,1,1,0.3333,0.6176,0.3333,0.2059,3.088
44,22,1996,15,1,0.8036,0.0769,0.4265,0.0618,0.0328,1.7135
45,22,1998,29,1,0.8929,0.2051,0.6029,0.1832,0.1237,2.6915
46,23,1996,19.5,1,0.8155,0.3333,0.4485,0.2718,0.1495,1.829
47,25,1994,17.8,1,0.7917,0.359,0.3162,0.2842,0.1135,1.2515
48,25,1997,34.5,1,0.6488,0.7949,0.5588,0.5157,0.4442,1.813
49,31,1990,24,1,0.625,0.2821,0.5882,0.1763,0.1659,1.838
50,42,1998,50,1,0.9345,0.0513,0.9706,0.0479,0.0498,4.535
